URL,Category,Product_name,Price,Description,Product_info,Usage_instructions
https://thecrafthouse.vn/products/bai-tay-championship-championship-playing-card-deck,games-toys,Bài Tây Championship,255000.0,"Bộ bài tây Championship mang đến trải nghiệm mới lạ và độc đáo trong từng chi tiết biểu tượng và nét trạm trổ màu sắc. Ý tưởng giữ nguyên các thành phần cốt lõi và cách điệu nét vẽ mặt sau từng lá bài tạo ra một điểm gặp gỡ giữa cổ điển và mới lạ. Với hộp bài ép kim sang trọng và chất liệu plastic nhám cao cấp, 52 lá bài đảm bảo từng nước đi thật mượt mà và hoàn hảo. Đặc tính mềm dẻo, không thấm nước càng tăng tính công bằng cũng như cơ hội cho bất cứ ai trở thành nhà vô địch. Thiết kế đặc biệt và độ bền cao biến sản phẩm trở thành một món quà thú vị, giúp người chơi tận hưởng những trận đấu bài tây đỉnh cao một cách trọn vẹn.","Chất liệu: Nhựa PVC 0.32mm bề mặt nhám Thành phần: 1 hộp bảo vệ, 1 hộp bài, 52 lá bài, 2 lá Joker Kích thước: 6.9x9.57x2.5cm Trọng lượng: 185g Màu: vàng, xanh lá The Craft House - The gift of art.",
https://thecrafthouse.vn/products/the-regal-chess-set,games-toys,Cờ Vua Regal,6100000.0,"Bộ Cờ Vua Regal hội tụ đầy đủ các yếu tố giải trí, nghệ thuật, sang trọng giúp nâng tầm không gian sống của người sở hữu. Những quân cờ tối giản kết hợp cùng phong cách cổ điển sẽ biến không gian sống của bạn trở nên sang trọng và tinh tế hơn bao giờ hết. Mỗi quân cờ trong bộ cờ vua Regal đều là một tác phẩm nghệ thuật độc đáo, được chế tác tinh xảo bởi bàn tay tài hoa của 10 nghệ nhân lành nghề. Qua 19 công đoạn tỉ mỉ, bộ cờ mang đến một vẻ đẹp thanh lịch và cuốn hút, khẳng định cá tính riêng của người sở hữu. Nếu bạn đang phân vân tìm quà tặng cho bạn bè hoặc người thân yêu thích nghệ thuật, thì Bộ Cờ Vua Regal là sự lựa chọn phù hợp dành riêng cho bạn.","- Chất liệu: Gỗ óc chó, gỗ dẻ gai, jesmonite, da microfiber, đồng nguyên khối. - Thành phần: 1 bàn cờ, 16 quân cờ trắng, 16 quân cờ đen, 2 hộp quân cờ. - Kích thước: 40x40x2cm. - Trọng lượng: 3.65kg.",Bảng hướng dẫn chơi trò chơi được đính kèm trong hộp. The Craft House - The gift of art.
https://thecrafthouse.vn/products/co-backgammon-premium-backgammon,games-toys,Cờ Backgammon,6136000.0,"Với thiết kế cách điệu tinh tế, Bộ Cờ Backgammon đáp ứng đủ cả chức năng giải trí lẫn thẩm mỹ. Được hình thành trên chất liệu bền vững và cách phối màu ấn tượng, bộ cờ trở thành món đồ nội thất hấp dẫn thị giác tô điểm không gian sống của bạn. Nếu bạn đang tìm kiếm một trò chơi để tận hưởng cùng bạn bè hay một tác phẩm nghệ thuật, sản phẩm này chính là lựa chọn hàng đầu.","Chất liệu: Gỗ óc chó, gỗ thông và da microfiber, đồng thau Màu: Đen & đỏ thẫm, Cam cháy & be, Đen & be Thành phần: 1 bàn cờ, 30 quân cờ, các phụ kiện khác Kích thước: 37x 26.5x7cm Trọng lượng: 4kg The Craft House - The gift of art.",
https://thecrafthouse.vn/products/co-dam-nam-cham-go-deluxe-magnetic-wooden-checker,games-toys,Cờ Đam Nam Châm Gỗ,4516000.0,"Với đường nét hiện đại chấm phá trên nền truyền thống, Bộ Cờ Đam Nam Châm Gỗ thổi một làn gió mới cho trò chơi dân gian lâu đời. Sử dụng các vật liệu cao cấp và bền vững, Cờ Đam là sản phẩm thủ công chỉn chu và đầy tự hào chất Việt. Tinh tế, tỉ mỉ mà giản đơn, đây chắc chắn là món quà đầy ý nghĩa: vừa mang giá trị thẩm mỹ cao vừa mang đến những trải nghiệm thú vị dành cho người dùng.","Chất liệu: gỗ Walnut, da PU, đồng, nam châm Thành phần: 1 bàn cờ, 12 quân trắng, 12 quân đen Kích thước: 22x32.5x1.6cm",Bảng hướng dẫn chơi trò chơi được đính kèm trong hộp. The Craft House - The gift of art.
https://thecrafthouse.vn/products/co-vua-lumina-xanh,games-toys,Cờ Vua Lumina Helio,2503000.0,"Giữ vững tinh thần của trò chơi quý tộc, song cờ vua phiên bản Lumina lại khoác lên mình vẻ ngoài hiện đại hơn. Lược bỏ những đường cong quen thuộc, bộ cờ phù hợp với gu thẩm mỹ tân thời, lột tả qua những đường thẳng ấn tượng mang đến tổng thể hài hòa. Cải tiến trong chất liệu đối lập, ẩn dụ cho hai tính cách đặc trưng: bóng bẩy và bụi trần, tuy khác nhau song cùng nhau nổi bật, tạo nét hài hòa hoàn mỹ. Những người thợ được đòi hỏi phải cực kỳ chắc tay và tỉ mỉ để tạo ra được độ sáng bóng, mượt mà trên bề mặt thành phẩm. Cờ Vua Cao Cấp Lumina là sự lựa chọn phù hợp để làm quà tặng đến người thân, gia đình, bạn bè và đồng nghiệp.","Chất liệu: Resin, inox, da, gỗ MDF Thành phần: 1 bàn cờ, 32 quân cờ Kích thước: 28x28cm",Bảng hướng dẫn chơi trò chơi được đính kèm trong hộp. The Craft House - The gift of art.
https://thecrafthouse.vn/products/spacefest-poker,games-toys,Spacefest Poker,6100000.0,"Rực rỡ và lấp lánh giữa những gam màu đan xen. Sự sôi động và náo nhiệt ấy làm bừng sáng một góc sâu thẳm trong vũ trụ bao la đầy huyền bí. Tại đây, một bữa tiệc sống động khơi dậy bởi SPACEFEST Poker đang được diễn ra, dẫn lối bạn vào một khoảng thiên hà nơi mọi cung bậc cảm xúc giao thoa, từ hồi hộp đến vỡ òa trong từng khoảnh khắc giải trí và kết nối trọn vẹn nhất.","Nghệ thuật chế tác thủ công Quy trình chế tác gồm 35 bước, trong đó có 26 bước sơn mài, được thực hiện bởi 5 người thợ thủ công Thời gian chế tác: 1,5 tháng, bao gồm thời gian đủ để lớp sơn khô tự nhiên Xuất xứ: Được thiết kế & chế tác tỉ mỉ tại Việt Nam Chất liệu tạo nên sự khác biệt Hộp đựng được làm từ gỗ MDF, hạn chế tối đa tình trạng mối mọt, cong vênh, đảm bảo độ bền bỉ vượt trội cho sản phẩm Kỹ thuật sơn mài được áp dụng trong quá trình chế tác nắp hộp, trải qua 26 bước công phu để tạo nên hiệu ứng bóng gương bắt mắt, đảm bảo tính sắc nét và độ lên màu chính xác của từng chi tiết thiết kế 300 chip ABS cùng màu sắc sống động, với phần lõi sắt mang đến trọng lượng đầm tay Thẻ Dealer - Big Blind - Small Blind bằng inox bền bỉ, với bề mặt in UV bền màu và sắc nét trên da PU cao cấp 2 bộ bài thiết kế được làm từ nhựa PVC 0.32mm, mang lại bề mặt nhám mờ thẩm mỹ cùng khả năng chống bám bẩn và nước vượt trội",
https://thecrafthouse.vn/products/co-ty-phu-lumina-ha-flasei,games-toys,Cờ Tỷ Phú Hà Nội Lumina,1767000.0,"Khám phá trọn bộ ẩm thực và địa danh nổi tiếng làm nên Hà Nội thương mến trên phiên bản Cờ tỷ phú Lumina rực rỡ sắc màu. Với tâm huyết và sáng tạo không ngơi nghỉ, đội ngũ thợ Việt gửi vào bàn cờ những chất liệu bền vững và cao cấp nhất, giúp kháng nước và giữ được độ mới lâu dài. Từng chi tiết được in UV sắc nét trên mặt da dẻo dai, các token và bộ ""giấy tờ nhà đất"" được gia công chuẩn chỉnh, đưa người chơi đến giấc mơ tỷ phú đầy say mê và khó đoán. Cả thủ đô dễ dàng cuộn gọn trong ống và theo bạn đến bất kỳ bữa tiệc hay chuyến du lịch nào. Bộ cờ là món quà tuổi thơ xinh đẹp đầy cảm xúc và tinh hoa Việt Nam, vừa giải trí lại có thể treo tường độc đáo dành tặng những tâm hồn đồng điệu.","Chất liệu: da PU in UV, da microfiber vegan, nhựa ABS Thành phần: 1 bàn cờ da, 8 token ghế nhựa, 1 set nhà đất, 1 set cơ hội và khí vận, 1 set token nhà nhựa, 1 bộ tiền và 02 xúc xắc (xí ngầu). Kích thước: 52x52x0,5cm Trọng lượng: 1.08kg",Bảng hướng dẫn chơi trò chơi được đính kèm trong hộp. The Craft House - The gift of art.
https://thecrafthouse.vn/products/co-ty-phu-lumina-sai-gon,games-toys,Cờ Tỷ Phú Sài Gòn Lumina,1767000.0,"Vùng đất Sài Gòn với nhiều nét văn hóa kỳ thú được điểm tô rực rỡ trong bộ Cờ tỷ phú Lumina, là thành phẩm kết hợp từ ý tưởng mới lạ và kỹ thuật điêu luyện của những người thợ Việt. Sắc đỏ chủ đạo mang vẻ đẹp hiện đại, nhịp sống sôi động nơi thành thị, kích thích người chơi với một tinh thần đam mê và quyết tâm sở hữu những khu sầm uất nhất. Chất liệu đặc biệt từ da bền vững và kháng nước in UV sắc nét, các thành phần (token ghế nhựa, xí ngầu, set xổ số,...) đẹp mắt sẽ khiến bạn đắm chìm hàng giờ liền bên hội bạn thân. Ký ức về một Sài Gòn đa văn hóa không chỉ gợi lại khi ta nhập cuộc chơi, bàn cờ da lumina cũng là một bản tranh treo tường ấn tượng cho ngôi nhà của bạn.","Chất liệu: da PU in UV, da microfiber vegan, nhựa ABS Thành phần: 1 bàn cờ da, 8 token ghế nhựa, 1 set nhà đất, 1 set cơ hội và khí vận, 1 set token nhà nhựa, 1 bộ tiền và 02 xúc xắc (xí ngầu). Kích thước: 52x52x0,5cm Trọng lượng: 1.08kg",Bảng hướng dẫn chơi trò chơi được đính kèm trong hộp. The Craft House - The gift of art.
https://thecrafthouse.vn/products/co-vua-thi-dau-bespoke,games-toys,Cờ Vua Thi Đấu Bespoke,5290000.0,"Tự do sáng tạo, lựa chọn màu sắc độc bản và khẳng định phong cách riêng, bạn đã sẵn sàng sở hữu một bộ cờ vua Bespoke hoàn toàn khác biệt? Với nhiều lựa chọn phối màu đa dạng, mỗi bộ cờ Bespoke Tournament đều là một tác phẩm nghệ thuật độc nhất vô nhị, được chế tác thủ công tỉ mỉ bởi 18 nghệ nhân trong suốt 45 giờ. Chất liệu resin cao cấp cùng lớp sơn mài bóng mịn không chỉ tôn lên vẻ đẹp sang trọng mà còn đảm bảo độ bền vượt thời gian cho từng quân cờ. Hãy để Bespoke Tournament Chess Set trở thành món quà ý nghĩa, dành tặng những ai trân trọng sự độc đáo và đam mê cờ vua.","- Chất liệu: gỗ walnut, gỗ pine, da microfiber, resin, thép không gỉ. - Bespoke Tournament Chess Set có 6 phiên bản màu với thành phần như sau: + Xanh dương - hồng: 1 hộp bàn cờ, 16 quân cờ xanh dương, 16 quân cờ trắng, 2 quân hậu. + Xanh dương - trắng: 1 hộp bàn cờ, 16 quân cờ xanh dương, 16 quân cờ trắng, 2 quân hậu. + Đỏ - trắng: 1 hộp bàn cờ, 16 quân cờ đỏ, 16 quân cờ trắng, 2 quân hậu. + Nâu - trắng: 1 hộp bàn cờ, 16 quân cờ nâu, 16 quân cờ trắng, 2 quân hậu. + Cam - Trắng - Hồng: 1 hộp bàn cờ, 16 quân cờ đỏ, 16 quân cờ trắng, 2 quân hậu. + Hồng - Đen - Xanh Bạc Hà: 1 hộp bàn cờ, 16 quân cờ đen, 16 quân cờ xanh bạc hà, 2 quân hậu. - Kích thước: 50x50x2.2cm. - Trọng lượng: 4.8kg.",Bảng hướng dẫn chơi trò chơi được đính kèm trong hộp. The Craft House - The gift of art.
https://thecrafthouse.vn/products/bo-co-ty-phu-islandopoly-premium-islandopoly,games-toys,Cờ Tỷ Phú Islandopoly,4810000.0,"Lấy cảm hứng của sự tìm kiếm tự do bên trong tâm trí và sáng tạo để thoát khỏi bức tường giao tiếp ngột ngạt trong đại dịch Covid-19, cờ tỷ phú Islandopoly phiên bản đại dương và các hòn đảo được ra đời. Bộ cờ khắc hoạ trí tưởng tượng phong phú của người đam mê nghệ thuật. Sản phẩm là sự kết hợp hoàn hảo về màu sắc và Board Game 3D hiện đại sẽ khiến bạn choáng ngọp trong lần đầu được trải nghiệm. Đây là món quà lý tưởng dành tặng đến người thân, gia đình, bạn bè và đồng nghiệp","Chất liệu: PVC, da PU, epoxy resin, giấy cao cấp, thẻ nhựa. Thành phần: 1 bàn cờ, 6 token thuyền. 1 set thẻ biển đảo, 1 bộ tiền, 16 thẻ cơ hội, 16 thẻ khí vận, 1 set nhà và 2 xúc xắc (xí ngầu). Kích thước: Bàn cờ đường kính 38cm. Trọng lượng: 5kg",Theo dõi giấy hướng dẫn sử dụng được đính kèm phía trong hộp The Craft House - The gift of art.
